lon,lat,OBJECTID,INCNUM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,FULL_ADD,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CITNUM,RACE,SEX,CIT_AGE,CIT_COND_TYPE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
-86.16178699999999,39.7018338,1792,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN","Hands, fist, feet",Assaulting Officer(s),Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Abraisons,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1793,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN",Body weight leverage,Assaulting Officer(s),Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Abraisons,576,White,Male,50,28,Unreported
-86.14121,39.76861760000001,1794,6050,2014-12-14,21:06:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"117 N Herman Street, Indianapolis, IN",Handcuffing,Assaulting Officer(s),Arrest,Yes,Disorderly Conduct,Unreported,No,No,No,No,2271,White,Male,14,Unreported,3002,White,Male,27,4,Unreported
-86.14121,39.76861760000001,1796,6050,2014-12-14,21:06:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"117 N Herman Street, Indianapolis, IN",Handcuffing,Assaulting Officer(s),Arrest,Yes,Battery (M),Unreported,No,No,No,No,2271,White,Male,14,Unreported,3002,White,Male,27,4,Unreported
-86.14121,39.76861760000001,1797,6050,2014-12-14,21:06:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"117 N Herman Street, Indianapolis, IN",Handcuffing,Assaulting Officer(s),Arrest,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,2271,White,Male,14,Unreported,3002,White,Male,27,4,Unreported
-86.11903749999999,39.7110521,1798,6051,2014-12-15,NA,Operations division,Southeast district,SE DAY TACTICAL SHIFT,UNREPORTED,In compliance,"3805 S Keystone Avenue, Indianapolis, IN",Body weight leverage,Combative Suspect,Assisting a Citizen,Yes,NA,Unreported,No,Yes,No,No,2270,White,Male,59,Unreported,715,White,Male,47,24,Unreported
-86.11903749999999,39.7110521,1799,6051,2014-12-15,NA,Operations division,Southeast district,SE DAY TACTICAL SHIFT,UNREPORTED,In compliance,"3805 S Keystone Avenue, Indianapolis, IN","Hands, fist, feet",Combative Suspect,Assisting a Citizen,Yes,NA,Unreported,No,Yes,No,No,2270,White,Male,59,Unreported,715,White,Male,47,24,Unreported
-86.1886804,39.742911,1800,6057,2014-12-13,06:05:00:000,Operations division,Southwest district,SW DAY SHIFT,SW DAY SHIFT,In compliance,"1790 S Kentucky Ave, Indianapolis, IN",Taser,Fleeing,Arrest,Yes,Theft/Receiving Stolen Property,Unreported,No,No,No,No,2273,Black,Male,29,Unreported,2351,White,Male,41,12,Unreported
-86.1886804,39.742911,1801,6057,2014-12-13,06:05:00:000,Operations division,Southwest district,SW DAY SHIFT,SW DAY SHIFT,In compliance,"1790 S Kentucky Ave, Indianapolis, IN",Taser,Fleeing,Arrest,Yes,Resisting Law Enforcement (F),Unreported,No,No,No,No,2273,Black,Male,29,Unreported,2351,White,Male,41,12,Unreported
-86.1886804,39.742911,1802,6057,2014-12-13,06:05:00:000,Operations division,Southwest district,SW DAY SHIFT,SW DAY SHIFT,In compliance,"1790 S Kentucky Ave, Indianapolis, IN",Taser,Fleeing,Arrest,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,2273,Black,Male,29,Unreported,2351,White,Male,41,12,Unreported
-86.1886804,39.742911,1803,6057,2014-12-13,06:05:00:000,Operations division,Southwest district,SW DAY SHIFT,SW DAY SHIFT,In compliance,"1790 S Kentucky Ave, Indianapolis, IN",Taser,Fleeing,Arrest,Yes,Stolen Vehicle,Unreported,No,No,No,No,2273,Black,Male,29,Unreported,2351,White,Male,41,12,Unreported
-86.29157000000001,39.7802191,1804,6091,2014-12-16,14:52:00:000,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"7320 W 10th Street, Indianapolis, IN",Joint manipulation,Resisting Arrest,Off-Duty Employment,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,2291,Black,Male,13,No injuries noted or visible,2443,White,Male,36,9,No injuries noted or visible
-86.29157000000001,39.7802191,1805,6092,2014-12-17,NA,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"7320 W 10th Street, Indianapolis, IN",Joint manipulation,Resisting Arrest,Off-Duty Employment,Yes,Resisting Law Enforcement (F),Unreported,No,No,Yes,No,2292,Black,Male,15,No injuries noted or visible,2443,White,Male,36,9,Internal pain/discomfort
-86.29157000000001,39.7802191,1806,6092,2014-12-17,NA,Operations division,Southwest district,SW LATE SHIFT,UNREPORTED,In compliance,"7320 W 10th Street, Indianapolis, IN",Joint manipulation,Resisting Arrest,Off-Duty Employment,Yes,Resisting Law Enforcement (F),Unreported,No,No,Yes,No,2292,Black,Male,15,No injuries noted or visible,2443,White,Male,36,9,Swelling
-86.141339,39.741844,1807,6096,2014-12-17,03:15:00:000,Operations division,Southeast district,SE LATE SHIFT,UNREPORTED,In compliance,"1878 S Barth Avenue, Indianapolis, IN",Handcuffing,Resisting Arrest,Investigation,Yes,Public Intoxication,Unreported,No,No,No,No,710,White,Female,52,Unreported,1993,White,Male,43,11,Unreported
-86.141339,39.741844,1811,6096,2014-12-17,03:15:00:000,Operations division,Southeast district,SE LATE SHIFT,UNREPORTED,In compliance,"1878 S Barth Avenue, Indianapolis, IN",Handcuffing,Resisting Arrest,Investigation,Yes,Public Intoxication,Unreported,No,No,No,No,710,White,Female,52,Unreported,3237,White,Male,32,0,Unreported
-86.141339,39.741844,1808,6096,2014-12-17,03:15:00:000,Operations division,Southeast district,SE LATE SHIFT,UNREPORTED,In compliance,"1878 S Barth Avenue, Indianapolis, IN",Taser,Resisting Arrest,Investigation,Yes,Public Intoxication,Unreported,No,No,No,No,710,White,Female,52,Unreported,1993,White,Male,43,11,Unreported
-86.141339,39.741844,1809,6096,2014-12-17,03:15:00:000,Operations division,Southeast district,SE LATE SHIFT,UNREPORTED,In compliance,"1878 S Barth Avenue, Indianapolis, IN",Handcuffing,Resisting Arrest,Investigation,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,710,White,Female,52,Unreported,1993,White,Male,43,11,Unreported
-86.141339,39.741844,1810,6096,2014-12-17,03:15:00:000,Operations division,Southeast district,SE LATE SHIFT,UNREPORTED,In compliance,"1878 S Barth Avenue, Indianapolis, IN",Taser,Resisting Arrest,Investigation,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,710,White,Female,52,Unreported,1993,White,Male,43,11,Unreported
-86.141339,39.741844,1812,6096,2014-12-17,03:15:00:000,Operations division,Southeast district,SE LATE SHIFT,UNREPORTED,In compliance,"1878 S Barth Avenue, Indianapolis, IN",Handcuffing,Resisting Arrest,Investigation,Yes,Resisting Law Enforcement (M),Unreported,No,No,No,No,710,White,Female,52,Unreported,3237,White,Male,32,0,Unreported
-75.1575782,39.9282513,1813,6098,2014-12-17,19:50:00:000,Operations division,Southwest district,SW LATE TACTICAL SHIFT,UNREPORTED,In compliance,"1700 S Beulah Street, Indianapolis, IN",Personal cs/oc spray,Combative Suspect,Arrest,Yes,Intimidation,Unreported,No,No,No,No,2294,White,Male,29,No injuries noted or visible,2029,White,Male,33,10,No injuries noted or visible
-75.1575782,39.9282513,1814,6098,2014-12-17,19:50:00:000,Operations division,Southwest district,SW LATE TACTICAL SHIFT,UNREPORTED,In compliance,"1700 S Beulah Street, Indianapolis, IN",Personal cs/oc spray,Combative Suspect,Arrest,Yes,Operating a Vehicle While Intoxicated (M),Unreported,No,No,No,No,2294,White,Male,29,No injuries noted or visible,2029,White,Male,33,10,No injuries noted or visible
