zip,latitude,longitude,INCNUM
46224,39.8214016,-86.2418694,30403
46227,39.6534032,-86.1540505,14825
46225,39.76629,-86.158305,14916
46231,39.7406607,-86.33583159999999,14874
46208,39.81163799999999,-86.159033,15302
46221,39.670826,-86.24889309999999,29610
46226,39.8247216,-86.06484189999999,29611
46219,39.7668385,-86.14733439999999,29634
46254,39.8249056,-86.16039409999999,29695
46208,39.8237739,-86.15623599999999,31196
46227,39.6583352,-86.1403248,29700
46225,39.763425,-86.157719,29721
46202,39.7948576,-86.18285159999999,30418
46237,39.6672456,-86.0857643,29950
46222,39.8065219,-86.2115018,14395
46227,39.6510852,-86.1158351,31357
46222,39.7859479,-86.210713,14447
46203,39.7389355,-86.1197827,14465
46201,39.76439269999999,-86.1265354,29987
46202,39.7705135,-86.1554943,30191
46229,39.790212,-85.954943,14640
46226,39.8403417,-86.05126279999999,14931
46254-2406,39.8256031,-86.2270388,14968
46226,39.82205159999999,-86.0836598,15032
46241,39.7270021,-86.26984999999999,29560
46254,39.8247896,-86.15973989999999,29670
46206,39.763551,-86.157924,29858
46201,39.7761846,-86.13337659999999,29944
46225,39.7643035,-86.1582123,30014
46235,39.820533,-85.986789,15044
46229,39.7887288,-85.96659439999999,15081
46201,39.7763012,-86.1154081,20760
462058,39.827197,-86.12279,15117
46235,39.828533,-86.005861,28129
46235,39.8252447,-86.09374880000001,30420
46229,39.7967595,-86.0372247,30437
46241,39.6969234,-86.2703102,30475
46225,39.762954,-86.15771099999999,30477
46254,39.8231817,-86.2597242,30514
46222,39.7787268,-86.22273799999999,30035
46208,39.8104953,-86.166298,30203
46278,39.8228141,-86.23468249999999,30228
46235,39.8315891,-86.0075231,30282
46206,39.7618099,-86.16051399999999,14609
46217,39.6493969,-86.1777484,14623
46208,39.8053263,-86.1679422,14844
46225,39.7631191,-86.1577606,30310
46208,39.8053263,-86.1679422,14846
46254,39.82398209999999,-86.2448392,15129
46226,39.8299574,-86.03933640000001,20992
46201,39.7644095,-86.0969748,28589
46201,39.77908499999999,-86.116317,30602
46260,39.8975293,-86.18398839999999,30517
46241,39.7169803,-86.2394166,15245
46241,39.752503,-86.262895,15260
46231,39.7472185,-86.26940970000001,34706
46219,39.7707278,-86.0663574,15299
46203,39.7339403,-86.1379493,29196
46260,39.9011236,-86.1812353,29250
46236,39.918939,-85.9480109,29352
46205,39.8244197,-86.12557249999999,29583
Postcode Not Found,NA,NA,42945
46225,39.76303679999999,-86.1590196,18172
46203,39.7362196,-86.11950410000001,30540
46201,39.7813619,-86.11086340000001,15371
46203,39.7524732,-86.0972721,30646
46254,39.8237744,-86.2538716,30718
46260,39.9111954,-86.21564479999999,30799
46205,39.7994408,-86.1447678,30705
46113,39.6875126,-86.274232,30759
46225,39.7645005,-86.1643665,27084
46217,39.6603778,-86.2090597,18197
46201,39.774885,-86.11040450000002,14598
46222,39.79031459999999,-86.23366109999999,14750
46229,39.798404,-86.004418,29745
46201,39.7803345,-86.0997605,29859
46202,39.7948576,-86.18285159999999,29913
46225,39.7631219,-86.15844969999999,29949
46235,39.8333055,-85.9970273,29985
46201,39.7722853,-86.0859265,36659
46218,39.7900517,-86.0828847,30434
46203,39.7362196,-86.11950410000001,30543
46229,39.7889113,-86.0785461,30616
46219,39.7836439,-86.0648858,14547
46217,39.7087283,-86.1704058,14761
46218,39.79580199999999,-86.0771122,30622
46208,39.8081029,-86.1762522,32785
46241,39.75655150000001,-86.2341701,30970
46239,39.7332665,-86.02951449999999,30674
46226,39.8194549,-86.0336088,30819
46226,39.8194377,-86.0340335,37044
46204,39.7685876,-86.1481878,31045
46201,39.7746616,-86.10388689999999,31135
46225,39.7640344,-86.1587622,31059
46268,39.8741864,-86.2413409,32393
46225,39.745151,-86.14909999999999,15424
46208,39.82579459999999,-86.16609539999999,30893
46224,39.7882841,-86.20936309999999,30989
46205,39.8333631,-86.12771459999999,30698
46208,39.8123717,-86.16939400000001,31294
46205,39.8288644,-86.10851819999999,15454
46208,39.8103275,-86.1779222,30715
46219,39.7662891,-86.05855629999999,30821
46224,39.7882809,-86.205911,30845
46227,39.7269117,-86.1398382,37759
46235,39.8241585,-86.0094976,31025
46225,39.7640344,-86.1587622,31193
46201,39.7665857,-86.1206871,15458
46201,39.7701187,-86.10983739999999,15453
46221,39.71696,-86.2480035,15498
46226,39.8402389,-86.061719,12091
46229,39.7761099,-85.97746529999999,12124
46268,39.920924,-86.20367,12468
46268,39.8771875,-86.24338589999999,31223
46218,39.8179109,-86.1251564,32532
46241,39.7511839,-86.2567116,31295
46201,39.781626,-86.1162545,31333
