lon,lat,INCNUM
-86.0918805,39.7437801,42866
-86.2099532,39.780762,43034
-85.98561869999999,39.814103,43123
-86.0939353,39.9240678,42770
-86.0595321,39.7847438,42769
-86.0172044,39.7936044,40043
-86.236762,39.8557187,38807
-86.1540196,39.7789394,39953
-86.053341,39.832437,39483
-86.20827550000001,39.811728,42121
-86.1245566,39.8155546,40541
-86.1380487,39.7519742,39444
-86.1311322,39.7421221,39253
-86.0892635,39.789473,39295
-86.1422955,39.9230082,40041
-86.1957716,39.76727169999999,42141
-86.20142299999999,39.87952900000001,42328
-86.0966167,39.7749071,40929
-86.2404518,39.8576513,40080
-85.9865728,39.812231,43063
-85.99132499999999,39.775971,38508
-86.1070766,39.7417872,39086
-86.14093199999999,39.7599541,38558
-86.26611079999999,39.8351104,38596
-86.1265653,39.87838989999999,38914
-86.1448879,39.7642587,39036
-86.2635449,39.75393200000001,39088
-86.065572,39.7948416,39071
-86.2486804,39.8098366,39105
-86.1209985,39.7140506,39213
-86.2286591,39.8109574,39365
-86.13095419999999,39.8740839,39532
-86.17619839999999,39.8103306,39764
-85.99527909999999,39.797982,41343
-86.0070239,39.7986752,39811
-86.04730409999999,39.79730319999999,39828
-86.1871624,39.756729,39840
-86.1022163,39.7854301,42479
-86.15988779999999,39.7801406,39466
-86.1313808,39.83834179999999,39695
-86.1970996,39.7660582,39926
-86.0940358,39.9248833,39641
-86.1319444,39.7662203,39910
-86.2457187,39.7527039,39947
-86.0640238,39.7779745,39965
-86.1211952,39.7542521,40025
-86.0101684,39.8333623,40435
-86.22064739999999,39.8096509,40438
-86.263053,39.770132,40715
-86.1410693,39.72471549999999,40544
-86.2286591,39.8109574,40599
-86.2312329,39.7145176,40712
-86.2269044,39.8180624,40292
-86.0646549,39.8128948,40757
-86.119959,39.7597869,40806
-86.08414069999999,39.772092,40846
-86.15768469999999,39.8603349,38554
-86.0880651,39.7943521,38453
-86.15801549999999,39.7609773,38765
-86.029015,39.828754000000004,38987
-86.1678043,39.8085043,41055
-86.1594578,39.8234477,41078
-86.215812,39.78783,40973
-86.0923581,39.8224975,41301
-86.1023319,39.77165249999999,41437
